"date","overseas","local_contact","local_unknown","under_investigation"
2021-03-09,0,0,0,0
2021-03-10,0,0,0,0
2021-03-11,0,0,0,0
2021-03-12,0,0,0,0
2021-03-13,0,0,0,0
2021-03-14,0,0,0,0
2021-03-15,0,0,0,0
2021-03-16,0,0,0,0
2021-03-17,0,0,0,0
2021-03-18,0,0,0,0
2021-03-19,0,0,0,0
2021-03-20,0,0,0,0
2021-03-21,0,0,0,0
2021-03-22,0,0,0,0
2021-03-23,0,0,0,0
2021-03-24,0,0,0,0
2021-03-25,0,0,0,0
2021-03-26,0,0,0,0
2021-03-27,0,0,0,0
2021-03-28,1,0,0,0
2021-03-29,0,0,0,0
2021-03-30,0,0,0,0
2021-03-31,0,0,0,0
2021-04-01,0,0,0,0
2021-04-02,0,0,0,0
2021-04-03,0,0,0,0
2021-04-04,0,0,0,0
2021-04-05,0,0,0,0
2021-04-06,0,0,0,0
2021-04-07,0,0,0,0
2021-04-08,0,0,0,0
2021-04-09,1,0,0,0
2021-04-10,0,0,0,0
2021-04-11,2,0,0,0
2021-04-12,0,0,0,0
2021-04-13,0,0,0,0
2021-04-14,5,0,0,0
2021-04-15,0,0,0,0
2021-04-16,3,0,0,0
2021-04-17,0,0,0,0
2021-04-18,4,0,0,0
2021-04-19,1,0,0,0
2021-04-20,3,0,0,0
2021-04-21,2,0,0,0
2021-04-22,2,0,0,0
2021-04-23,1,1,0,0
2021-04-24,1,0,0,0
2021-04-25,0,0,0,0
2021-04-26,4,0,0,0
2021-04-27,2,0,0,0
2021-04-28,1,0,0,0
2021-04-29,2,0,0,0
2021-04-30,3,0,0,0
2021-05-01,1,0,0,0
2021-05-02,1,0,0,0
2021-05-03,1,0,0,0
2021-05-04,0,0,0,0
2021-05-05,2,0,0,0
2021-05-06,0,0,0,0
2021-05-07,1,0,0,0
2021-05-08,5,0,0,0
2021-05-09,2,0,0,0
2021-05-10,1,0,0,0
2021-05-11,0,1,0,0
2021-05-12,1,0,0,0
2021-05-13,1,0,0,0
2021-05-14,1,0,0,0
2021-05-15,4,0,0,0
2021-05-16,1,0,0,0
2021-05-17,0,0,0,0
2021-05-18,1,0,0,0
2021-05-19,0,0,0,0
2021-05-20,0,0,0,0
2021-05-21,0,0,0,0
2021-05-22,1,0,0,0
2021-05-23,1,0,0,0
2021-05-24,0,4,0,0
2021-05-25,0,9,1,0
2021-05-26,0,12,0,0
2021-05-27,2,4,0,0
2021-05-28,2,4,0,0
2021-05-29,1,4,1,0
2021-05-30,0,5,0,0
2021-05-31,1,8,1,0
2021-06-01,0,5,1,0
2021-06-02,0,3,0,0
2021-06-03,2,4,0,0
2021-06-04,0,4,1,0
2021-06-05,6,2,0,0
2021-06-06,0,11,0,0
2021-06-07,1,2,0,0
2021-06-08,0,1,0,0
2021-06-09,0,4,0,0
2021-06-10,1,0,0,0
2021-06-11,3,1,0,0
2021-06-12,0,1,0,0
2021-06-13,4,2,0,0
2021-06-14,3,0,0,0
2021-06-15,3,5,0,0
2021-06-16,1,0,0,0
2021-06-17,1,1,0,0
2021-06-18,1,2,0,0
2021-06-19,1,0,0,0
2021-06-20,7,1,0,0
2021-06-21,1,0,0,0
2021-06-22,1,0,0,0
2021-06-23,2,1,0,0
2021-06-24,0,2,0,0
2021-06-25,2,1,0,0
2021-06-26,2,0,0,0
2021-06-27,2,0,0,0
2021-06-28,2,0,0,0
2021-06-29,1,1,0,0
2021-06-30,0,0,0,0
2021-07-01,3,0,0,0
2021-07-02,0,0,0,0
2021-07-03,1,0,0,0
2021-07-04,2,0,0,0
2021-07-05,2,0,0,0
2021-07-06,0,0,0,0
2021-07-07,0,0,0,0
2021-07-08,1,0,0,0
2021-07-09,3,0,0,0
2021-07-10,0,0,0,0
2021-07-11,0,0,0,0
2021-07-12,0,3,0,0
2021-07-13,1,1,0,0
2021-07-14,0,10,0,0
2021-07-15,1,9,0,0
2021-07-16,0,20,0,0
2021-07-17,2,16,0,0
2021-07-18,1,13,0,0
2021-07-19,2,13,0,0
2021-07-20,1,22,0,0
2021-07-21,2,25,0,0
2021-07-22,0,14,0,0
2021-07-23,0,12,0,0
2021-07-24,1,11,0,0
2021-07-25,1,11,0,0
2021-07-26,0,10,0,0
2021-07-27,0,8,0,0
2021-07-28,0,7,0,0
2021-07-29,0,3,0,0
2021-07-30,0,2,0,0
2021-07-31,0,4,0,0
2021-08-01,0,2,0,0
2021-08-02,1,4,0,0
2021-08-03,0,1,0,0
2021-08-04,0,4,2,0
2021-08-05,0,6,0,0
2021-08-06,0,29,0,0
2021-08-07,1,11,0,0
2021-08-08,0,11,0,0
2021-08-09,0,20,0,0
2021-08-10,0,19,1,0
2021-08-11,0,22,1,0
2021-08-12,0,14,1,0
2021-08-13,0,20,1,0
2021-08-14,0,24,1,0
2021-08-15,0,21,1,0
2021-08-16,0,24,0,0
2021-08-17,0,24,0,0
2021-08-18,0,56,1,0
2021-08-19,2,50,4,0
2021-08-20,0,55,6,0
2021-08-21,1,62,2,0
2021-08-22,0,62,3,0
2021-08-23,1,42,5,0
2021-08-24,0,38,7,0
2021-08-25,0,72,7,0
2021-08-26,0,69,12,0
2021-08-27,0,53,9,0
2021-08-28,1,73,12,0
2021-08-29,0,56,8,8
2021-08-30,0,55,0,17
2021-08-31,0,83,0,37
2021-09-01,0,126,0,50
2021-09-02,1,142,1,60
2021-09-03,0,133,0,54
2021-09-04,2,126,0,48
2021-09-05,0,171,1,69
2021-09-06,0,172,0,72
2021-09-07,0,141,2,73
2021-09-08,0,214,0,102
2021-09-09,0,219,0,116
2021-09-10,0,260,0,178
2021-09-11,0,236,0,146
2021-09-12,0,325,1,136
2021-09-13,0,295,4,138
2021-09-14,0,243,2,148
2021-09-15,0,329,0,169
2021-09-16,1,303,2,202
2021-09-17,0,323,0,185
2021-09-18,0,303,1,193
2021-09-19,0,355,1,202
2021-09-20,0,355,5,221
2021-09-21,0,378,0,234
2021-09-22,0,416,3,338
2021-09-23,0,406,0,310
2021-09-24,0,496,1,342
2021-09-25,0,433,0,334
2021-09-26,0,415,0,279
2021-09-27,0,575,1,407
2021-09-28,0,497,0,440
2021-09-29,0,734,6,684
2021-09-30,0,603,3,528
2021-10-01,0,723,11,731
2021-10-02,0,637,2,573
2021-10-03,0,712,9,654
2021-10-04,0,893,13,841
2021-10-05,0,728,6,655
2021-10-06,0,802,19,791
2021-10-07,0,880,16,886
2021-10-08,0,987,20,927
2021-10-09,1,902,16,930
2021-10-10,1,850,10,724
2021-10-11,0,692,8,726
2021-10-12,0,776,6,746
2021-10-13,0,1103,3,1152
2021-10-14,0,1054,7,1067
2021-10-15,0,1009,8,915
2021-10-16,1,957,7,810
2021-10-17,2,980,2,900
2021-10-18,0,872,12,807
2021-10-19,1,912,8,835
2021-10-20,2,1063,14,1041
2021-10-21,0,1040,15,1040
2021-10-22,2,840,12,832
2021-10-23,0,1018,8,825
2021-10-24,0,768,12,623
2021-10-25,0,721,9,717
2021-10-26,0,768,3,693
2021-10-27,0,948,21,893
2021-10-28,1,817,12,765
2021-10-29,0,701,15,573
2021-10-30,0,532,20,458
2021-10-31,0,854,20,545
2021-11-01,0,529,18,412
2021-11-02,0,486,15,420
2021-11-03,0,659,24,529
2021-11-04,0,683,22,596
2021-11-05,0,629,33,569
2021-11-06,0,638,25,478
2021-11-07,1,596,31,472
2021-11-08,0,536,24,480
2021-11-09,0,483,24,472
2021-11-10,0,554,33,705
2021-11-11,1,505,21,572
2021-11-12,0,548,22,623
2021-11-13,0,448,26,417
2021-11-14,0,415,16,416
2021-11-15,1,402,19,366
2021-11-16,1,471,21,495
2021-11-17,0,439,24,531
2021-11-18,0,587,28,651
2021-11-19,0,541,26,588
2021-11-20,0,660,19,575
2021-11-21,0,531,13,468
2021-11-22,0,417,12,381
2021-11-23,1,563,26,591
2021-11-24,0,577,37,630
2021-11-25,1,542,38,760
2021-11-26,1,535,38,655
2021-11-27,2,498,24,532
2021-11-28,2,424,33,532
2021-11-29,5,410,14,471
2021-11-30,2,487,32,642
2021-12-01,5,562,34,802
2021-12-02,1,471,15,690
2021-12-03,7,553,7,785
2021-12-04,5,413,6,550
2021-12-05,5,469,13,573
2021-12-06,6,501,16,656
2021-12-07,4,572,8,713
2021-12-08,6,467,17,727
2021-12-09,8,466,14,705
2021-12-10,5,466,12,682
2021-12-11,10,472,15,561
2021-12-12,13,498,8,762
2021-12-13,7,489,2,687
2021-12-14,14,509,2,859
2021-12-15,24,614,0,964
2021-12-16,15,561,14,896
2021-12-17,19,550,18,894
2021-12-18,16,505,30,681
2021-12-19,31,518,16,720
2021-12-20,21,518,12,680
2021-12-21,27,555,8,905
2021-12-22,30,684,12,1258
2021-12-23,15,618,14,1436
2021-12-24,8,592,6,1479
2021-12-25,3,443,10,1123
2021-12-26,5,559,17,1381
2021-12-27,9,732,0,1967
2021-12-28,2,1016,4,2705
2021-12-29,2,1294,4,3792
2021-12-30,0,1392,5,4464
2021-12-31,2,1686,7,5664
2022-01-01,8,1651,22,5438
2022-01-02,9,1829,17,6660
2022-01-03,9,3217,3,10602
2022-01-04,1,3404,15,13860
2022-01-05,0,4324,14,17488
2022-01-06,1,4303,12,17101
2022-01-07,0,7059,8,21769
2022-01-08,0,6766,3,18496
2022-01-09,0,5426,0,14475
2022-01-10,0,6147,0,14656
2022-01-11,0,5691,1,15356
2022-01-12,0,5126,0,14572
2022-01-13,0,5110,0,13254
2022-01-14,0,3335,0,9157
2022-01-15,0,5264,1,13188
2022-01-16,0,3712,0,9079
2022-01-17,0,2833,0,6815
2022-01-18,0,3288,0,8000
2022-01-19,0,3258,0,8442
2022-01-20,0,3116,0,7237
2022-01-21,0,2784,0,5995
2022-01-22,0,2189,0,4698
2022-01-23,0,1526,0,3325
2022-01-24,0,2249,0,4448
2022-01-25,0,2423,0,4424
2022-01-26,0,2176,0,4319
2022-01-27,0,1881,0,3874
2022-01-28,0,2027,0,4362
2022-01-29,0,1566,0,3134
2022-01-30,0,1301,0,2589
2022-01-31,0,1458,0,3197
2022-02-01,0,2028,0,5813
2022-02-02,0,1596,0,4303
2022-02-03,0,1229,0,2972
2022-02-04,0,835,0,2134
2022-02-05,0,883,0,2010
2022-02-06,0,820,0,1869
2022-02-07,0,806,0,2248
2022-02-08,0,1087,0,2868
2022-02-09,0,954,0,2752
2022-02-10,0,904,0,2531
2022-02-11,0,800,0,1994
2022-02-12,0,702,0,1842
2022-02-13,0,686,0,1710
2022-02-14,0,570,0,1853
2022-02-15,0,781,0,2360
2022-02-16,0,792,0,2351
2022-02-17,0,653,0,2166
2022-02-18,0,574,0,1735
2022-02-19,0,499,0,1368
2022-02-20,0,477,0,1266
2022-02-21,0,539,0,1512
2022-02-22,0,660,0,2019
2022-02-23,0,574,0,1935
2022-02-24,0,620,0,1915
2022-02-25,0,518,0,1733
2022-02-26,0,455,0,1392
2022-02-27,0,417,0,1388
2022-02-28,0,401,0,1507
2022-03-01,0,539,0,2117
2022-03-02,0,536,0,2009
2022-03-03,0,469,0,1972
2022-03-04,0,401,0,1655
2022-03-05,0,344,0,1583
2022-03-06,0,356,0,1322
2022-03-07,0,394,0,1540
2022-03-08,0,511,0,2076
2022-03-09,0,491,0,2340
2022-03-10,0,519,0,2213
2022-03-11,0,434,0,1808
2022-03-12,0,480,0,1432
2022-03-13,0,387,0,1281
2022-03-14,0,386,0,1466
2022-03-15,0,451,0,2024
2022-03-16,0,656,0,2974
2022-03-17,0,643,0,2827
2022-03-18,0,577,0,2386
2022-03-19,0,535,0,1914
2022-03-20,0,388,0,1755
2022-03-21,0,463,0,2206
2022-03-22,0,674,0,3120
2022-03-23,0,673,0,3061
2022-03-24,0,558,0,2927
2022-03-25,0,607,0,2486
2022-03-26,0,576,0,2119
2022-03-27,0,617,0,1975
2022-03-28,0,565,0,2528
2022-03-29,0,811,0,3384
2022-03-30,0,692,0,3577
2022-03-31,0,731,0,3282
2022-04-01,0,680,0,2584
2022-04-02,0,748,0,2431
2022-04-03,0,677,0,1930
2022-04-04,0,631,0,2502
2022-04-05,0,856,0,3598
2022-04-06,0,873,0,3416
2022-04-07,0,777,0,3627
2022-04-08,0,691,0,2812
2022-04-09,0,777,0,2521
2022-04-10,0,640,0,2100
2022-04-11,0,546,0,2366
2022-04-12,0,607,0,3341
2022-04-13,0,559,0,3193
2022-04-14,0,448,0,3194
